Year,Kafue Gorge,Kariba North Bank,Victoria falls,Chishimba falls,Lunzua,Lusiwasi Lower,Lusiwasi Upper,Musonda Falls,Shiwan'gandu,Bangweulu Power Limited,Itezhi tezhi Power Corporation,Kafue Gorge Lower,Kariba North Bank Extension,Lunsemfwa Hydro Power,Maamba Collieries Limited,Ndola Energy Corporation Limited,Ngonye Power Limited,Total_Power,Exports,Imports,Transport,Mining (Quarries),Finance and property,Trade,Manufacturing,Domestic (Including households),Agriculture,Energy and water,Others,Construction,PPA,Total_Consumption,cons_power,export_power
2013,7463,4507,810,22.2,3.8,55.7,0,21.1,0,0,0,0,0,398.4,0,0.03,0,13281.23,1082,73,,,,,,,,,,,,,,
2014,6666,4999,811,23.7,3.5,58.7,0,20.5,0.7,0,0,0,1162,297,0,393.4,0,14435.5,1256,13,31.3,5933.5,487.4,107.4,479.2,3250.8,241.4,73.2,99.1,17.2,0,10720.5,0.742648332,0.087007724
2015,6417,4316,785,24.2,26,63.9,0,6.4,1,0,0,0,1179,216.5,0,380,0,13415,1176,785,33.4,6313.8,516.9,109.8,530.8,3482,260.4,89.1,98.5,15.2,0,11449.9,0.853514722,0.087663064
2016,5853,2964,754,17.8,60.9,41.3,0,0,1.6,0,536.7,0,672,121.9,326.4,323.6,0,11673.2,794,2185,28.4,5977.6,498.6,97.4,469.8,3382.9,227.9,87.7,80.1,7.1,0,10829.1,0.927689066,0.068019052
2017,7363,2689,684,15.8,40.4,46.2,0,6.1,2.1,0,735.4,0,599,292.6,1279.4,698.8,0,14451.8,1063,753,32,6320.2,640,110.2,503.4,4146.9,261.5,80.9,87.3,9.6,0,12192,0.843631935,0.073554851
2018,6527,3597,723,15.7,69.3,66,0,54,2.7,0,709.21,0,1611,318.56,2041.47,451.02,0,16185.96,1250,152,32.5,6829.5,713.9,113.8,593.1,4336.9,297,68.5,84.1,10.8,0,13080.1,0.808113946,0.077227424
2019,6165,3021,725,18.4,69.7,26.2,0,51,3.3,77.06,715.8,0,1363,174.01,1886.93,698.74,40.5,15035.64,976,198,31.8,6551.3,835.4,82.8,375.4,4477.3,293.7,113.7,60.5,9.4,0,12831.4,0.853398991,0.064912435
2020,6027,3431,764,12.8,84,34.5,0,57,3.2,92.15,772.18,0,1494,172.41,1895.61,596.23,58,15494.08,1340,130,28.6,6062.8,628.2,81.4,381.8,3814.6,261.4,92.9,69.2,7.8,52.4,11428.8,0.73762366,0.086484644
2021,7185,4288,731.4,11.36,72.01,29.57,51.27,53.92,2.44,89.24,829.11,893.33,731,354.09,1296.62,117.17,58.42,16793.95,2150,18,31.8,6551.3,835.4,82.8,375.4,4477.3,293.7,113.7,60.5,9.4,0,12831.3,0.764043004,0.128022294
2022,7154.03,3615.15,685.42,10.85,41.15,20.77,42.08,45.43,0.54,84.54,757.8,2966.65,1501.2,247.78,2164.7,0,58.57,19396.66,2923,18,36.9,7355.1,908.3,87.8,384.6,4548.5,286.5,106.8,56.2,7.3,0,13777.9,0.710323324,0.150696048
2023,7497.97,2955.17,819.35,16,53.04,17.38,60.83,56.83,0.57,86.97,828.68,4038.54,527.54,218.71,2126.33,6.65,60.32,19370.88,3661,294,38.9,7650.9,907.4,91,354.5,4387.7,312.2,119.5,44.2,6.9,729.2,13913,0.718243053,0.188995028
